        x              y       Side   Disk   Ring   Module
      4.17494      6.0839       1      9      1      4
      5.11292      8.01762      1      9      1      4
      3.92424      5.68354      1      9      1      4
      4.00846      5.86535      1      9      1      4
      3.95964      5.9127       1      9      1      4
      5.03086      8.08604      1      9      1      4
      3.56414      5.40633      1      9      1      4
      4.26423      7.11073      1      9      1      4
      5.11308      8.79698      1      9      1      4
      4.46937      7.5519       1      9      1      4
      4.69496      8.10845      1      9      1      4
      3.81514      6.37959      1      9      1      4
      3.43717      5.88677      1      9      1      4
      5.11898      9.25465      1      9      1      4
      3.15988      5.47748      1      9      1      4
      4.0062      7.15049       1      9      1      4
      3.50199      6.24252      1      9      1      4
      4.60159      8.41713      1      9      1      4
      3.36772      6.01205      1      9      1      4
      3.61244      6.50535      1      9      1      4
      4.57477      8.41956      1      9      1      4
      4.53289      8.57573      1      9      1      4
      4.46151      8.4548       1      9      1      4
      4.75206      9.04834      1      9      1      4
      3.20397      6.15166      1      9      1      4
      3.97276      7.72815      1      9      1      4
      4.0986      8.05157       1      9      1      4
      3.02085      5.94159      1      9      1      4
      4.02967      7.94447      1      9      1      4
      4.17487      8.47725      1      9      1      4
      4.42907      9.21292      1      9      1      4
      3.04652      6.55774      1      9      1      4
      2.93232      6.66087      1      9      1      4
      2.88572      6.63686      1      9      1      4
      3.36436      7.59806      1      9      1      4
      3.41582      7.81904      1      9      1      4
      2.89153      6.87267      1      9      1      4
      2.96212      7.02772      1      9      1      4
      2.89635      6.91516      1      9      1      4
      3.84869      8.80075      1      9      1      4
      2.60128      6.3801       1      9      1      4
      3.19259      7.59569      1      9      1      4
      3.7111       8.65737      1      9      1      4
      3.74717      8.7963       1      9      1      4
      2.79015      7.05916      1      9      1      4
      2.89063      7.31545      1      9      1      4
      3.25956      8.13462      1      9      1      4
      2.57621      6.80861      1      9      1      4
      2.17011      6.02674      1      9      1      4
      2.53848      6.78907      1      9      1      4
      2.39884      6.51695      1      9      1      4
      2.22063      6.16954      1      9      1      4
      4.00676      9.82136      1      9      1      4
      3.6597       9.26784      1      9      1      4
      3.63051      9.20406      1      9      1      4
      3.65573      9.2811       1      9      1      4
      3.12735      8.38176      1      9      1      4
      2.1513       6.55319      1      9      1      4
      2.28992      7.01907      1      9      1      4
      2.75503      7.97595      1      9      1      4
      3.25768      9.012        1      9      1      4
      1.87418      6.3573       1      9      1      4
      2.05854      6.84578      1      9      1      4
      3.28193      9.24683      1      9      1      4
      2.13069      7.10303      1      9      1      4
      2.22721      7.45835      1      9      1      4
      1.88371      6.82437      1      9      1      4
      1.76364      6.79566      1      9      1      4
      2.53973      8.40026      1      9      1      4
      1.93308      7.27113      1      9      1      4
      2.8144       9.23786      1      9      1      4
      2.65322      6.2821       1      9      1      5
      2.77494      7.02869      1      9      1      5
      3.16165      9.98806      1      9      1      5
      2.571        6.41226      1      9      1      5
      2.67897      7.43801      1      9      1      5
      2.74585      7.93543      1      9      1      5
      2.87555      9.19274      1      9      1      5
      2.93479      9.61914      1      9      1      5
      2.81938      8.91714      1      9      1      5
      2.36031      6.29359      1      9      1      5
      2.388        6.49193      1      9      1      5
      2.90574      9.90869      1      9      1      5
      2.41008      7.03579      1      9      1      5
      2.27359      6.18929      1      9      1      5
      2.22952      6.14199      1      9      1      5
      2.84652      10.1495      1      9      1      5
      2.79303      9.92362      1      9      1      5
      2.53313      8.36254      1      9      1      5
      2.20462      7.42311      1      9      1      5
      2.15445      7.21819      1      9      1      5
      2.31384      8.48026      1      9      1      5
      2.04085      6.82059      1      9      1      5
      2.44179      9.35199      1      9      1      5
      2.45743      9.81832      1      9      1      5
      1.88596      6.32817      1      9      1      5
      2.12943      8.56015      1      9      1      5
      2.11296      8.51207      1      9      1      5
      2.18315      9.26118      1      9      1      5
      2.13535      9.01534      1      9      1      5
      1.7616       6.76346      1      9      1      5
      2.01236      8.76621      1      9      1      5
      2.21302      10.3208      1      9      1      5
      1.81311      7.97166      1      9      1      5
      1.73725      7.54781      1      9      1      5
