         x            y         Side    Disk   Ring  Module
      -18.4292      10.3245      1      9      5      21
      -19.4098      9.06036      1      9      5      21
      -22.378      9.04706      1      9      5      22
      -21.3288      5.64065      1      9      5      22
      -24.1366      5.27815      1      9      5      23
      -21.3485      4.05824      1      9      5      23
      -21.2197      1.9516      1      9      5      24
      -22.69      1.17622      1      9      5      24
      -21.494      0.726082      1      9      5      24
      -21.3198      -1.35604      1      9      5      25
      -21.9988      -1.67604      1      9      5      25
      -25.2866      -2.10208      1      9      5      25
      -21.6804      -4.19933      1      9      5      26
      -20.4162      -6.94651      1      9      5      27
      -18.7483      -10.3565      1      9      5      28
      -20.2987      -14.0061      1      9      5      29
      -19.5023      -13.4899      1      9      5      29
      -20.2908      -14.0179      1      9      5      29
      -18.882      -15.4131      1      9      5      30
      -16.4825      -13.7382      1      9      5      30
      -18.2251      -17.2706      1      9      5      30
      -16.7036      -18.5359      1      9      5      31
      -14.5817      -16.322      1      9      5      31
      -14.0322      -20.3897      1      9      5      32
      -13.1438      -19.5041      1      9      5      32
      -13.5857      -20.4562      1      9      5      32
      -13.3442      -20.151      1      9      5      32
      -13.0419      -20.4253      1      9      5      32
      -10.1795      -18.7909      1      9      5      33
      -10.1751      -18.7931      1      9      5      33
      -7.07318      -22.678      1      9      5      34
      -6.22757      -22.3836      1      9      5      34
      -5.724      -22.6359      1      9      5      35
      -4.41099      -20.6091      1      9      5      35
      1.18778      -24.6392      1      9      5      37
      1.70894      -21.0684      1      9      5      37
      6.07642      -22.1449      1      9      5      38
      5.94038      -21.9524      1      9      5      39
      7.29913      -23.7585      1      9      5      39
      8.54701      -19.6406      1      9      5      40
      8.91102      -19.9858      1      9      5      40
      12.0793      -20.1052      1      9      5      41
      14.3142      -18.4209      1      9      5      42
      16.6238      -17.4874      1      9      5      42
      17.5217      -18.178      1      9      5      42
      17.4403      -15.7556      1      9      5      43
      19.9229      -11.2897      1      9      5      45
      20.5431      -11.4931      1      9      5      45
      19.3546      -8.58379      1      9      5      45
      23.2891      -7.73364      1      9      5      46
      20.7931      -4.57096      1      9      5      47
      23.4018      -4.67852      1      9      5      47
      23.6394      -3.91207      1      9      5      47
      23.1525      -3.08155      1      9      5      47
      24.2685      -2.46855      1      9      5      48
      23.0388      -2.2619      1      9      5      48
      21.8956      -0.313618      1      9      5      48
      7.30727      -0.263891      1      10      1      1
      7.04525      0.0464419      1      10      1      1
      10.0572      0.549426      1      10      1      1
      6.73076      0.144114      1      10      1      1
      8.59301      0.769973      1      10      1      1
      6.60045      0.735341      1      10      1      1
      6.81736      1.54929      1      10      1      1
      9.01643      2.12852      1      10      1      1
      8.97334      4.12742      1      10      1      2
      8.01418      4.68675      1      10      1      2
      6.35808      4.30441      1      10      1      2
      7.08315      5.45549      1      10      1      2
      6.41717      4.3259      1      10      1      3
      7.04574      5.45298      1      10      1      3
      7.20958      6.50677      1      10      1      3
      7.33764      7.5397      1      10      1      3
      5.1764      5.92063      1      10      1      3
      3.9766      4.94004      1      10      1      3
      4.96531      7.28564      1      10      1      3
      5.09093      7.29138      1      10      1      4
      3.66093      6.72783      1      10      1      4
      2.53744      5.95194      1      10      1      4
      3.72001      9.02362      1      10      1      4
      2.16009      6.03185      1      10      1      4
      2.39349      8.22758      1      10      1      4
      2.45441      10.1018      1      10      1      5
      2.22041      8.61669      1      10      1      5
      1.59004      7.90563      1      10      1      5
      1.51357      8.63742      1      10      1      5
      1.40839      9.77921      1      10      1      5
      0.316879      7.3876      1      10      1      5
      -0.00789094      7.73299      1      10      1      5
      -0.0272071      9.29704      1      10      1      5
      -0.40916      7.70532      1      10      1      5
      0.314608      7.41666      1      10      1      6
      -0.070519      9.41864      1      10      1      6
      -0.0141329      7.77005      1      10      1      6
      -0.265975      7.45648      1      10      1      6
      -1.24443      8.16867      1      10      1      6
      -1.71878      9.40568      1      10      1      6
      -1.58966      7.93886      1      10      1      6
      -2.27684      10.2397      1      10      1      6
      -2.43336      8.27598      1      10      1      6
      -2.46428      6.58121      1      10      1      6
      -2.54956      8.47578      1      10      1      7
      -3.34271      8.45181      1      10      1      7
      -2.46853      6.5601      1      10      1      7
